bus_id,component_id
v1_08bantap_F2_B4,1
v1_08bantap_F2_B5,1
v1_08bantap_F3_B0,1
v1_08bantap_F3_B1,1
v1_08barotac_F0_B0,1
v1_08barotac_F0_B1,1
v1_08barotac_F0_B2,1
v1_08barotac_F0_B3,1
v1_08barotac_F0_B4,1
v1_08barotac_F0_B5,1
v1_08barotac_F1_B0,1
v1_08barotac_F1_B1,1
v1_08barotac_F1_B2,1
v1_08barotac_F1_B3,1
v1_08barotac_F1_B4,1
v1_08barotac_F1_B5,1
v1_08barotac_F2_B0,1
v1_08barotac_F2_B1,1
v1_08barotac_F2_B2,1
v1_08barotac_F2_B3,1
v1_08barotac_F2_B4,1
v1_08barotac_F2_B5,1
v1_08dingle_F0_B0,1
v1_08dingle_F0_B1,1
v1_08dingle_F0_B2,1
v1_08dingle_F0_B3,1
v1_08dingle_F0_B4,1
v1_08dingle_F0_B5,1
v1_08dingle_F1_B0,1
v1_08dingle_F1_B1,1
v1_08dingle_F1_B2,1
v1_08dingle_F1_B3,1
v1_08dingle_F1_B4,1
v1_08dingle_F1_B5,1
v1_08dingle_F2_B0,1
v1_08dingle_F2_B1,1
v1_08dingle_F2_B2,1
v1_08dingle_F2_B3,1
v1_08dingle_F2_B4,1
v1_08dingle_F2_B5,1
v1_08dingle_F3_B0,1
v1_08dingle_F3_B1,1
v1_08dingle_F3_B2,1
v1_08dingle_F3_B3,1
v1_08dingle_F3_B4,1
v1_08dingle_F3_B5,1
v1_08iloilo1_F0_B0,1
v1_08iloilo1_F0_B1,1
v1_08iloilo1_F0_B2,1
v1_08iloilo1_F0_B3,1
v1_08iloilo1_F0_B4,1
v1_08iloilo1_F0_B5,1
v1_08iloilo1_F1_B0,1
v1_08iloilo1_F1_B1,1
v1_08iloilo1_F1_B2,1
v1_08iloilo1_F1_B3,1
v1_08iloilo1_F1_B4,1
v1_08iloilo1_F1_B5,1
v1_08iloilo1_F2_B0,1
v1_08iloilo1_F2_B1,1
v1_08iloilo1_F2_B2,1
v1_08iloilo1_F2_B3,1
v1_08snjose_F0_B0,1
v1_08snjose_F0_B1,1
v1_08snjose_F0_B2,1
v1_08snjose_F0_B3,1
v1_08snjose_F0_B4,1
v1_08snjose_F0_B5,1
v1_08snjose_F1_B0,1
v1_08snjose_F1_B1,1
v1_08snjose_F1_B2,1
v1_08snjose_F1_B3,1
v1_08snjose_F1_B4,1
v1_08snjose_F1_B5,1
v1_08snjose_F2_B0,1
v1_08snjose_F2_B1,1
v1_08snjose_F2_B2,1
v1_08snjose_F2_B3,1
v1_08snjose_F2_B4,1
v1_08snjose_F2_B5,1
v1_08snjose_F3_B0,1
v1_08snjose_F3_B1,1
v1_08snjose_F3_B2,1
v1_08snjose_F3_B3,1
v1_08snjose_F3_B4,1
v1_08snjose_F3_B5,1
v1_08stbarbra_F0_B0,1
v1_08stbarbra_F0_B1,1
v1_08stbarbra_F0_B2,1
v1_08stbarbra_F0_B3,1
v1_08stbarbra_F0_B4,1
v1_08stbarbra_F0_B5,1
v1_08stbarbra_F1_B0,1
v1_08stbarbra_F1_B1,1
v1_08stbarbra_F1_B2,1
v1_08stbarbra_F1_B3,1
v1_08stbarbra_F1_B4,1
v1_08stbarbra_F1_B5,1
v1_08stbarbra_F2_B0,1
v1_08stbarbra_F2_B1,1
v1_08stbarbra_F2_B2,1
v1_08stbarbra_F2_B3,1
v1_08stbarbra_F2_B4,1
v1_08stbarbra_F2_B5,1
v1_08stbarbra_F3_B0,1
v1_08stbarbra_F3_B1,1
v1_08stbarbra_F3_B2,1
v1_08stbarbra_F3_B3,1
v1_08stbarbra_F3_B4,1
v1_08stbarbra_F3_B5,1
sub_synth_aklan_F0_B0,31
sub_synth_aklan_F0_B1,31
sub_synth_aklan_F0_B2,31
sub_synth_aklan_F0_B3,31
sub_synth_aklan_F0_B4,31
sub_synth_aklan_F0_B5,31
sub_synth_aklan_F1_B0,31
sub_synth_aklan_F1_B1,31
sub_synth_aklan_F1_B2,31
sub_synth_aklan_F1_B3,31
sub_synth_aklan_F1_B4,31
sub_synth_aklan_F1_B5,31
sub_synth_aklan_F2_B0,31
sub_synth_aklan_F2_B1,31
sub_synth_aklan_F2_B2,31
sub_synth_aklan_F2_B3,31
sub_synth_aklan_F2_B4,31
sub_synth_aklan_F2_B5,31
sub_synth_aklan_F3_B0,31
sub_synth_aklan_F3_B1,31
sub_synth_aklan_F3_B2,31
sub_synth_aklan_F3_B3,31
sub_synth_aklan_F3_B4,31
sub_synth_aklan_F3_B5,31
v1_08nabas_F0_B0,1
v1_08nabas_F0_B1,1
v1_08nabas_F1_B0,1
v1_08nabas_F1_B1,1
v1_08nabas_F1_B2,1
v1_08nabas_F1_B3,1
v1_08nabas_F1_B4,1
v1_08nabas_F1_B5,1
v1_08nabas_F2_B0,1
v1_08nabas_F2_B1,1
v1_08nabas_F2_B2,1
v1_08nabas_F2_B3,1
v1_08nabas_F2_B4,1
v1_08nabas_F2_B5,1
v1_08nabas_F3_B0,1
v1_08nabas_F3_B1,1
v1_08nabas_F3_B2,1
v1_08nabas_F3_B3,1
v1_08nabas_F3_B4,1
v1_08nabas_F3_B5,1
sub_ubay_substation_54_F0_B0,0
sub_ubay_substation_54_F0_B1,0
sub_ubay_substation_54_F0_B2,0
sub_ubay_substation_54_F0_B3,0
sub_ubay_substation_54_F0_B4,0
sub_ubay_substation_54_F0_B5,0
sub_ubay_substation_54_F1_B0,0
sub_ubay_substation_54_F1_B1,0
sub_ubay_substation_54_F1_B2,0
sub_ubay_substation_54_F1_B3,0
sub_ubay_substation_54_F1_B4,0
sub_ubay_substation_54_F1_B5,0
sub_ubay_substation_54_F2_B0,0
sub_ubay_substation_54_F2_B1,0
sub_ubay_substation_54_F2_B2,0
sub_ubay_substation_54_F2_B3,0
sub_ubay_substation_54_F2_B4,0
sub_ubay_substation_54_F2_B5,0
sub_ubay_substation_54_F3_B0,0
sub_ubay_substation_54_F3_B1,0
sub_ubay_substation_54_F3_B2,0
sub_ubay_substation_54_F3_B3,0
sub_ubay_substation_54_F3_B4,0
sub_ubay_substation_54_F3_B5,0
sub_tugas_terminal_submerged_ngcp_lines_58_F0_B0,0
sub_tugas_terminal_submerged_ngcp_lines_58_F1_B0,0
sub_tugas_terminal_submerged_ngcp_lines_58_F1_B1,0
